plan_id,resident_id,plan_category,plan_description,services_provided,target_value,target_date,status,case_conference_date,created_at,updated_at
1,1,Safety,Maintain a stable and safe environment,"Healing, Legal Services, Teaching",4.2,2024-02-01,On Hold,2023-11-01,2023-10-01 00:00:00+00,2024-03-01 00:00:00+00
2,1,Education,Improve participation and course completion,"Caring, Legal Services, Healing",0.85,2024-02-01,In Progress,2024-01-30,2023-10-01 00:00:00+00,2024-03-01 00:00:00+00
3,1,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Healing, Caring",4.2,2024-02-01,On Hold,2023-10-24,2023-10-01 00:00:00+00,2024-03-01 00:00:00+00
4,2,Safety,Maintain a stable and safe environment,Legal Services,4.2,2023-11-01,On Hold,2023-11-02,2023-03-01 00:00:00+00,2023-12-01 00:00:00+00
6,2,Physical Health,Improve nutrition and overall wellbeing,"Legal Services, Caring, Teaching",4.2,2023-11-01,Achieved,2023-04-21,2023-03-01 00:00:00+00,2023-12-01 00:00:00+00
8,3,Education,Improve participation and course completion,"Caring, Teaching, Legal Services",0.85,2025-02-01,On Hold,2024-12-17,2024-05-01 00:00:00+00,2025-03-01 00:00:00+00
11,4,Education,Improve participation and course completion,Teaching,0.85,2025-06-01,In Progress,2025-05-21,2024-09-01 00:00:00+00,2025-07-01 00:00:00+00
12,4,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2025-06-01,In Progress,2025-05-06,2024-09-01 00:00:00+00,2025-07-01 00:00:00+00
13,5,Safety,Maintain a stable and safe environment,"Healing, Teaching, Legal Services",4.2,2024-08-01,In Progress,2024-08-10,2024-01-01 00:00:00+00,2024-09-01 00:00:00+00
14,5,Education,Improve participation and course completion,"Healing, Caring, Teaching",0.85,2024-08-01,In Progress,,2024-01-01 00:00:00+00,2024-09-01 00:00:00+00
15,5,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Healing, Caring",4.2,2024-08-01,Achieved,2024-07-06,2024-01-01 00:00:00+00,2024-09-01 00:00:00+00
16,6,Safety,Maintain a stable and safe environment,"Caring, Legal Services, Healing",4.2,2024-05-01,On Hold,2023-08-16,2023-08-01 00:00:00+00,2024-06-01 00:00:00+00
17,6,Education,Improve participation and course completion,"Legal Services, Healing",0.85,2024-05-01,In Progress,,2023-08-01 00:00:00+00,2024-06-01 00:00:00+00
19,7,Safety,Maintain a stable and safe environment,"Caring, Healing, Legal Services",4.2,2025-01-01,In Progress,2024-12-20,2024-06-01 00:00:00+00,2025-02-01 00:00:00+00
20,7,Education,Improve participation and course completion,"Legal Services, Healing",0.85,2025-01-01,In Progress,2024-08-02,2024-06-01 00:00:00+00,2025-02-01 00:00:00+00
22,8,Safety,Maintain a stable and safe environment,"Healing, Teaching",4.2,2024-06-01,Achieved,,2024-02-01 00:00:00+00,2024-07-01 00:00:00+00
25,9,Safety,Maintain a stable and safe environment,"Caring, Healing, Legal Services",4.2,2025-11-01,Open,2025-07-17,2025-04-01 00:00:00+00,2025-12-01 00:00:00+00
26,9,Education,Improve participation and course completion,Teaching,0.85,2025-11-01,In Progress,2025-05-11,2025-04-01 00:00:00+00,2025-12-01 00:00:00+00
27,9,Physical Health,Improve nutrition and overall wellbeing,"Healing, Teaching, Caring",4.2,2025-11-01,Open,,2025-04-01 00:00:00+00,2025-12-01 00:00:00+00
28,10,Safety,Maintain a stable and safe environment,Caring,4.2,2024-04-01,In Progress,2023-12-22,2023-10-01 00:00:00+00,2024-05-01 00:00:00+00
29,10,Education,Improve participation and course completion,"Teaching, Healing",0.85,2024-04-01,Achieved,2023-10-25,2023-10-01 00:00:00+00,2024-05-01 00:00:00+00
30,10,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Caring, Legal Services",4.2,2024-04-01,Open,2024-04-17,2023-10-01 00:00:00+00,2024-05-01 00:00:00+00
31,11,Safety,Maintain a stable and safe environment,"Caring, Teaching",4.2,2023-11-01,On Hold,2023-05-24,2023-04-01 00:00:00+00,2023-12-01 00:00:00+00
32,11,Education,Improve participation and course completion,"Caring, Teaching",0.85,2023-11-01,On Hold,2023-06-16,2023-04-01 00:00:00+00,2023-12-01 00:00:00+00
33,11,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Caring",4.2,2023-11-01,In Progress,2023-08-10,2023-04-01 00:00:00+00,2023-12-01 00:00:00+00
34,12,Safety,Maintain a stable and safe environment,"Healing, Teaching, Caring",4.2,2025-04-01,In Progress,2024-12-31,2024-06-01 00:00:00+00,2025-05-01 00:00:00+00
35,12,Education,Improve participation and course completion,Healing,0.85,2025-04-01,Achieved,2024-11-16,2024-06-01 00:00:00+00,2025-05-01 00:00:00+00
36,12,Physical Health,Improve nutrition and overall wellbeing,Teaching,4.2,2025-04-01,Achieved,2024-12-19,2024-06-01 00:00:00+00,2025-05-01 00:00:00+00
37,13,Safety,Maintain a stable and safe environment,"Healing, Legal Services, Teaching",4.2,2023-06-01,In Progress,,2023-02-01 00:00:00+00,2023-07-01 00:00:00+00
38,13,Education,Improve participation and course completion,"Healing, Teaching, Legal Services",0.85,2023-06-01,In Progress,2023-04-25,2023-02-01 00:00:00+00,2023-07-01 00:00:00+00
39,13,Physical Health,Improve nutrition and overall wellbeing,"Healing, Legal Services, Teaching",4.2,2023-06-01,Open,,2023-02-01 00:00:00+00,2023-07-01 00:00:00+00
40,14,Safety,Maintain a stable and safe environment,"Teaching, Caring",4.2,2025-07-01,In Progress,2025-01-05,2025-01-01 00:00:00+00,2025-08-01 00:00:00+00
41,14,Education,Improve participation and course completion,"Healing, Teaching, Caring",0.85,2025-07-01,Achieved,2025-01-03,2025-01-01 00:00:00+00,2025-08-01 00:00:00+00
42,14,Physical Health,Improve nutrition and overall wellbeing,"Healing, Legal Services, Teaching",4.2,2025-07-01,Achieved,2025-07-21,2025-01-01 00:00:00+00,2025-08-01 00:00:00+00
43,15,Safety,Maintain a stable and safe environment,"Teaching, Healing",4.2,2025-08-01,In Progress,2025-04-10,2024-10-01 00:00:00+00,2025-09-01 00:00:00+00
44,15,Education,Improve participation and course completion,"Legal Services, Teaching, Healing",0.85,2025-08-01,In Progress,2025-08-23,2024-10-01 00:00:00+00,2025-09-01 00:00:00+00
45,15,Physical Health,Improve nutrition and overall wellbeing,"Caring, Legal Services, Teaching",4.2,2025-08-01,On Hold,2025-01-29,2024-10-01 00:00:00+00,2025-09-01 00:00:00+00
46,16,Safety,Maintain a stable and safe environment,"Legal Services, Teaching",4.2,2023-10-01,Achieved,2023-09-07,2023-06-01 00:00:00+00,2023-11-01 00:00:00+00
47,16,Education,Improve participation and course completion,"Healing, Caring",0.85,2023-10-01,In Progress,,2023-06-01 00:00:00+00,2023-11-01 00:00:00+00
48,16,Physical Health,Improve nutrition and overall wellbeing,"Caring, Teaching",4.2,2023-10-01,Achieved,2023-09-25,2023-06-01 00:00:00+00,2023-11-01 00:00:00+00
49,17,Safety,Maintain a stable and safe environment,"Legal Services, Healing, Caring",4.2,2025-08-01,On Hold,2025-02-26,2025-01-01 00:00:00+00,2025-09-01 00:00:00+00
50,17,Education,Improve participation and course completion,"Legal Services, Caring",0.85,2025-08-01,Achieved,2025-06-20,2025-01-01 00:00:00+00,2025-09-01 00:00:00+00
51,17,Physical Health,Improve nutrition and overall wellbeing,"Caring, Teaching, Healing",4.2,2025-08-01,In Progress,,2025-01-01 00:00:00+00,2025-09-01 00:00:00+00
52,18,Safety,Maintain a stable and safe environment,"Legal Services, Caring",4.2,2024-06-01,Open,2024-01-09,2023-12-01 00:00:00+00,2024-07-01 00:00:00+00
53,18,Education,Improve participation and course completion,"Caring, Healing",0.85,2024-06-01,Open,,2023-12-01 00:00:00+00,2024-07-01 00:00:00+00
54,18,Physical Health,Improve nutrition and overall wellbeing,"Healing, Legal Services",4.2,2024-06-01,In Progress,2024-03-19,2023-12-01 00:00:00+00,2024-07-01 00:00:00+00
55,19,Safety,Maintain a stable and safe environment,Caring,4.2,2024-05-01,In Progress,2024-05-19,2024-01-01 00:00:00+00,2024-06-01 00:00:00+00
56,19,Education,Improve participation and course completion,Caring,0.85,2024-05-01,On Hold,2024-03-16,2024-01-01 00:00:00+00,2024-06-01 00:00:00+00
57,19,Physical Health,Improve nutrition and overall wellbeing,Legal Services,4.2,2024-05-01,Open,,2024-01-01 00:00:00+00,2024-06-01 00:00:00+00
58,20,Safety,Maintain a stable and safe environment,"Caring, Teaching, Legal Services",4.2,2025-10-01,Open,,2025-03-01 00:00:00+00,2025-11-01 00:00:00+00
59,20,Education,Improve participation and course completion,"Caring, Healing",0.85,2025-10-01,Open,2025-03-21,2025-03-01 00:00:00+00,2025-11-01 00:00:00+00
60,20,Physical Health,Improve nutrition and overall wellbeing,"Caring, Teaching, Legal Services",4.2,2025-10-01,On Hold,,2025-03-01 00:00:00+00,2025-11-01 00:00:00+00
61,21,Safety,Maintain a stable and safe environment,"Caring, Legal Services, Teaching",4.2,2024-04-01,In Progress,,2023-10-01 00:00:00+00,2024-05-01 00:00:00+00
62,21,Education,Improve participation and course completion,Caring,0.85,2024-04-01,In Progress,2023-11-23,2023-10-01 00:00:00+00,2024-05-01 00:00:00+00
63,21,Physical Health,Improve nutrition and overall wellbeing,"Caring, Healing",4.2,2024-04-01,Achieved,2024-02-02,2023-10-01 00:00:00+00,2024-05-01 00:00:00+00
64,22,Safety,Maintain a stable and safe environment,Healing,4.2,2023-11-01,Open,,2023-05-01 00:00:00+00,2023-12-01 00:00:00+00
65,22,Education,Improve participation and course completion,"Teaching, Caring, Legal Services",0.85,2023-11-01,In Progress,2023-10-06,2023-05-01 00:00:00+00,2023-12-01 00:00:00+00
66,22,Physical Health,Improve nutrition and overall wellbeing,"Legal Services, Healing, Teaching",4.2,2023-11-01,Open,,2023-05-01 00:00:00+00,2023-12-01 00:00:00+00
67,23,Safety,Maintain a stable and safe environment,"Caring, Teaching",4.2,2023-11-01,In Progress,2023-09-16,2023-02-01 00:00:00+00,2023-12-01 00:00:00+00
68,23,Education,Improve participation and course completion,Teaching,0.85,2023-11-01,Closed,2023-09-23,2023-02-01 00:00:00+00,2023-12-01 00:00:00+00
69,23,Physical Health,Improve nutrition and overall wellbeing,"Caring, Legal Services",4.2,2023-11-01,In Progress,,2023-02-01 00:00:00+00,2023-12-01 00:00:00+00
70,24,Safety,Maintain a stable and safe environment,Caring,4.2,2025-04-01,Achieved,2025-03-14,2024-11-01 00:00:00+00,2025-05-01 00:00:00+00
71,24,Education,Improve participation and course completion,"Teaching, Healing",0.85,2025-04-01,Open,2025-01-02,2024-11-01 00:00:00+00,2025-05-01 00:00:00+00
72,24,Physical Health,Improve nutrition and overall wellbeing,"Healing, Legal Services",4.2,2025-04-01,In Progress,2024-11-30,2024-11-01 00:00:00+00,2025-05-01 00:00:00+00
73,25,Safety,Maintain a stable and safe environment,"Healing, Legal Services, Caring",4.2,2024-04-01,In Progress,2024-03-20,2023-06-01 00:00:00+00,2024-05-01 00:00:00+00
74,25,Education,Improve participation and course completion,Healing,0.85,2024-04-01,Achieved,2024-04-10,2023-06-01 00:00:00+00,2024-05-01 00:00:00+00
75,25,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Caring, Legal Services",4.2,2024-04-01,Closed,2023-12-12,2023-06-01 00:00:00+00,2024-05-01 00:00:00+00
76,26,Safety,Maintain a stable and safe environment,"Legal Services, Teaching, Caring",4.2,2024-01-01,In Progress,2023-09-30,2023-07-01 00:00:00+00,2024-02-01 00:00:00+00
77,26,Education,Improve participation and course completion,Healing,0.85,2024-01-01,In Progress,2023-12-13,2023-07-01 00:00:00+00,2024-02-01 00:00:00+00
78,26,Physical Health,Improve nutrition and overall wellbeing,Healing,4.2,2024-01-01,On Hold,2023-10-28,2023-07-01 00:00:00+00,2024-02-01 00:00:00+00
79,27,Safety,Maintain a stable and safe environment,"Teaching, Healing, Legal Services",4.2,2025-11-01,Achieved,2025-10-26,2025-03-01 00:00:00+00,2025-12-01 00:00:00+00
80,27,Education,Improve participation and course completion,Healing,0.85,2025-11-01,Achieved,2025-08-28,2025-03-01 00:00:00+00,2025-12-01 00:00:00+00
81,27,Physical Health,Improve nutrition and overall wellbeing,"Legal Services, Healing, Caring",4.2,2025-11-01,Achieved,2025-11-07,2025-03-01 00:00:00+00,2025-12-01 00:00:00+00
82,28,Safety,Maintain a stable and safe environment,Teaching,4.2,2024-09-01,In Progress,2024-08-12,2023-11-01 00:00:00+00,2024-10-01 00:00:00+00
83,28,Education,Improve participation and course completion,"Healing, Caring, Legal Services",0.85,2024-09-01,On Hold,2024-03-04,2023-11-01 00:00:00+00,2024-10-01 00:00:00+00
84,28,Physical Health,Improve nutrition and overall wellbeing,Teaching,4.2,2024-09-01,Achieved,,2023-11-01 00:00:00+00,2024-10-01 00:00:00+00
85,29,Safety,Maintain a stable and safe environment,"Healing, Teaching",4.2,2023-07-01,Open,,2023-03-01 00:00:00+00,2023-08-01 00:00:00+00
86,29,Education,Improve participation and course completion,"Teaching, Caring, Healing",0.85,2023-07-01,On Hold,,2023-03-01 00:00:00+00,2023-08-01 00:00:00+00
87,29,Physical Health,Improve nutrition and overall wellbeing,"Caring, Teaching",4.2,2023-07-01,Open,,2023-03-01 00:00:00+00,2023-08-01 00:00:00+00
88,30,Safety,Maintain a stable and safe environment,"Caring, Teaching, Healing",4.2,2024-10-01,In Progress,,2024-01-01 00:00:00+00,2024-11-01 00:00:00+00
89,30,Education,Improve participation and course completion,Legal Services,0.85,2024-10-01,In Progress,2024-10-02,2024-01-01 00:00:00+00,2024-11-01 00:00:00+00
90,30,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Healing, Caring",4.2,2024-10-01,In Progress,,2024-01-01 00:00:00+00,2024-11-01 00:00:00+00
91,31,Safety,Maintain a stable and safe environment,"Healing, Teaching, Legal Services",4.2,2024-04-01,On Hold,2024-04-29,2023-09-01 00:00:00+00,2024-05-01 00:00:00+00
92,31,Education,Improve participation and course completion,"Caring, Teaching",0.85,2024-04-01,In Progress,2023-10-15,2023-09-01 00:00:00+00,2024-05-01 00:00:00+00
93,31,Physical Health,Improve nutrition and overall wellbeing,"Healing, Teaching",4.2,2024-04-01,In Progress,,2023-09-01 00:00:00+00,2024-05-01 00:00:00+00
94,32,Safety,Maintain a stable and safe environment,"Teaching, Legal Services",4.2,2025-09-01,In Progress,,2025-02-01 00:00:00+00,2025-10-01 00:00:00+00
95,32,Education,Improve participation and course completion,"Healing, Caring, Legal Services",0.85,2025-09-01,Achieved,2025-09-22,2025-02-01 00:00:00+00,2025-10-01 00:00:00+00
96,32,Physical Health,Improve nutrition and overall wellbeing,Healing,4.2,2025-09-01,On Hold,2025-06-25,2025-02-01 00:00:00+00,2025-10-01 00:00:00+00
97,33,Safety,Maintain a stable and safe environment,"Legal Services, Healing",4.2,2025-06-01,Achieved,,2024-12-01 00:00:00+00,2025-07-01 00:00:00+00
98,33,Education,Improve participation and course completion,Caring,0.85,2025-06-01,In Progress,,2024-12-01 00:00:00+00,2025-07-01 00:00:00+00
99,33,Physical Health,Improve nutrition and overall wellbeing,"Healing, Teaching, Legal Services",4.2,2025-06-01,In Progress,,2024-12-01 00:00:00+00,2025-07-01 00:00:00+00
100,34,Safety,Maintain a stable and safe environment,"Caring, Healing, Teaching",4.2,2024-04-01,On Hold,,2023-07-01 00:00:00+00,2024-05-01 00:00:00+00
101,34,Education,Improve participation and course completion,"Healing, Legal Services, Teaching",0.85,2024-04-01,On Hold,2023-12-26,2023-07-01 00:00:00+00,2024-05-01 00:00:00+00
102,34,Physical Health,Improve nutrition and overall wellbeing,"Healing, Legal Services",4.2,2024-04-01,In Progress,2023-11-13,2023-07-01 00:00:00+00,2024-05-01 00:00:00+00
103,35,Safety,Maintain a stable and safe environment,Healing,4.2,2025-04-01,On Hold,2024-12-18,2024-08-01 00:00:00+00,2025-05-01 00:00:00+00
104,35,Education,Improve participation and course completion,"Teaching, Healing",0.85,2025-04-01,Closed,,2024-08-01 00:00:00+00,2025-05-01 00:00:00+00
105,35,Physical Health,Improve nutrition and overall wellbeing,Teaching,4.2,2025-04-01,On Hold,2024-10-15,2024-08-01 00:00:00+00,2025-05-01 00:00:00+00
106,36,Safety,Maintain a stable and safe environment,Teaching,4.2,2023-07-01,In Progress,2023-03-20,2023-03-01 00:00:00+00,2023-08-01 00:00:00+00
107,36,Education,Improve participation and course completion,"Teaching, Caring, Healing",0.85,2023-07-01,In Progress,2023-03-06,2023-03-01 00:00:00+00,2023-08-01 00:00:00+00
108,36,Physical Health,Improve nutrition and overall wellbeing,Teaching,4.2,2023-07-01,In Progress,,2023-03-01 00:00:00+00,2023-08-01 00:00:00+00
109,37,Safety,Maintain a stable and safe environment,"Healing, Teaching",4.2,2024-11-01,In Progress,,2024-01-01 00:00:00+00,2024-12-01 00:00:00+00
110,37,Education,Improve participation and course completion,"Teaching, Caring, Healing",0.85,2024-11-01,In Progress,2024-05-05,2024-01-01 00:00:00+00,2024-12-01 00:00:00+00
111,37,Physical Health,Improve nutrition and overall wellbeing,"Caring, Healing",4.2,2024-11-01,In Progress,,2024-01-01 00:00:00+00,2024-12-01 00:00:00+00
112,38,Safety,Maintain a stable and safe environment,"Teaching, Caring, Healing",4.2,2024-12-01,In Progress,2024-12-01,2024-04-01 00:00:00+00,2025-01-01 00:00:00+00
113,38,Education,Improve participation and course completion,"Caring, Teaching",0.85,2024-12-01,Open,,2024-04-01 00:00:00+00,2025-01-01 00:00:00+00
114,38,Physical Health,Improve nutrition and overall wellbeing,Healing,4.2,2024-12-01,On Hold,2024-07-20,2024-04-01 00:00:00+00,2025-01-01 00:00:00+00
115,39,Safety,Maintain a stable and safe environment,Caring,4.2,2025-07-01,Achieved,2025-05-03,2024-10-01 00:00:00+00,2025-08-01 00:00:00+00
116,39,Education,Improve participation and course completion,Teaching,0.85,2025-07-01,Achieved,2025-05-13,2024-10-01 00:00:00+00,2025-08-01 00:00:00+00
117,39,Physical Health,Improve nutrition and overall wellbeing,Legal Services,4.2,2025-07-01,On Hold,2025-07-04,2024-10-01 00:00:00+00,2025-08-01 00:00:00+00
118,40,Safety,Maintain a stable and safe environment,"Teaching, Healing, Caring",4.2,2026-01-01,In Progress,,2025-03-01 00:00:00+00,2026-02-01 00:00:00+00
119,40,Education,Improve participation and course completion,Teaching,0.85,2026-01-01,Open,2025-10-19,2025-03-01 00:00:00+00,2026-02-01 00:00:00+00
120,40,Physical Health,Improve nutrition and overall wellbeing,"Healing, Teaching",4.2,2026-01-01,Open,2025-06-02,2025-03-01 00:00:00+00,2026-02-01 00:00:00+00
121,41,Safety,Maintain a stable and safe environment,Legal Services,3.6,2024-10-01,In Progress,2024-10-26,2024-04-01 00:00:00+00,2024-11-01 00:00:00+00
