plan_id,resident_id,plan_category,plan_description,services_provided,target_value,target_date,status,case_conference_date,created_at,updated_at
227,92,Education,Improve participation and course completion,Teaching,0.85,2026-05-23,In Progress,2026-02-21,2025-11-23 00:00:00+00,2025-12-23 00:00:00+00
228,92,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-05-23,In Progress,2026-02-21,2025-11-23 00:00:00+00,2025-12-23 00:00:00+00
229,93,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-07-12,In Progress,2026-04-12,2026-01-12 00:00:00+00,2026-02-11 00:00:00+00
230,93,Education,Improve participation and course completion,Teaching,0.85,2026-07-12,In Progress,2026-04-12,2026-01-12 00:00:00+00,2026-02-11 00:00:00+00
231,93,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-07-12,In Progress,2026-04-12,2026-01-12 00:00:00+00,2026-02-11 00:00:00+00
232,94,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-07-28,In Progress,2026-04-28,2026-01-28 00:00:00+00,2026-02-27 00:00:00+00
233,94,Education,Improve participation and course completion,Teaching,0.85,2026-07-28,In Progress,2026-04-28,2026-01-28 00:00:00+00,2026-02-27 00:00:00+00
234,94,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-07-28,In Progress,2026-04-28,2026-01-28 00:00:00+00,2026-02-27 00:00:00+00
235,95,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-07-18,In Progress,2026-04-18,2026-01-18 00:00:00+00,2026-02-17 00:00:00+00
236,95,Education,Improve participation and course completion,Teaching,0.85,2026-07-18,In Progress,2026-04-18,2026-01-18 00:00:00+00,2026-02-17 00:00:00+00
237,95,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-07-18,In Progress,2026-04-18,2026-01-18 00:00:00+00,2026-02-17 00:00:00+00
238,96,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-05-19,In Progress,2026-02-17,2025-11-19 00:00:00+00,2025-12-19 00:00:00+00
239,96,Education,Improve participation and course completion,Teaching,0.85,2026-05-19,In Progress,2026-02-17,2025-11-19 00:00:00+00,2025-12-19 00:00:00+00
240,96,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-05-19,In Progress,2026-02-17,2025-11-19 00:00:00+00,2025-12-19 00:00:00+00
241,97,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-05-28,In Progress,2026-02-26,2025-11-28 00:00:00+00,2025-12-28 00:00:00+00
242,97,Education,Improve participation and course completion,Teaching,0.85,2026-05-28,In Progress,2026-02-26,2025-11-28 00:00:00+00,2025-12-28 00:00:00+00
243,97,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-05-28,In Progress,2026-02-26,2025-11-28 00:00:00+00,2025-12-28 00:00:00+00
244,98,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-07-14,In Progress,2026-04-14,2026-01-14 00:00:00+00,2026-02-13 00:00:00+00
245,98,Education,Improve participation and course completion,Teaching,0.85,2026-07-14,In Progress,2026-04-14,2026-01-14 00:00:00+00,2026-02-13 00:00:00+00
246,98,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-07-14,In Progress,2026-04-14,2026-01-14 00:00:00+00,2026-02-13 00:00:00+00
247,99,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-07-11,In Progress,2026-04-11,2026-01-11 00:00:00+00,2026-02-10 00:00:00+00
248,99,Education,Improve participation and course completion,Teaching,0.85,2026-07-11,In Progress,2026-04-11,2026-01-11 00:00:00+00,2026-02-10 00:00:00+00
249,99,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-07-11,In Progress,2026-04-11,2026-01-11 00:00:00+00,2026-02-10 00:00:00+00
250,100,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-06-22,In Progress,2026-03-22,2025-12-22 00:00:00+00,2026-01-21 00:00:00+00
251,100,Education,Improve participation and course completion,Teaching,0.85,2026-06-22,In Progress,2026-03-22,2025-12-22 00:00:00+00,2026-01-21 00:00:00+00
252,100,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-06-22,In Progress,2026-03-22,2025-12-22 00:00:00+00,2026-01-21 00:00:00+00
253,101,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-06-10,In Progress,2026-03-10,2025-12-10 00:00:00+00,2026-01-09 00:00:00+00
254,101,Education,Improve participation and course completion,Teaching,0.85,2026-06-10,In Progress,2026-03-10,2025-12-10 00:00:00+00,2026-01-09 00:00:00+00
255,101,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-06-10,In Progress,2026-03-10,2025-12-10 00:00:00+00,2026-01-09 00:00:00+00
256,102,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-06-11,In Progress,2026-03-11,2025-12-11 00:00:00+00,2026-01-10 00:00:00+00
257,102,Education,Improve participation and course completion,Teaching,0.85,2026-06-11,In Progress,2026-03-11,2025-12-11 00:00:00+00,2026-01-10 00:00:00+00
258,102,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-06-11,In Progress,2026-03-11,2025-12-11 00:00:00+00,2026-01-10 00:00:00+00
259,103,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-06-15,In Progress,2026-03-15,2025-12-15 00:00:00+00,2026-01-14 00:00:00+00
260,103,Education,Improve participation and course completion,Teaching,0.85,2026-06-15,In Progress,2026-03-15,2025-12-15 00:00:00+00,2026-01-14 00:00:00+00
261,103,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-06-15,In Progress,2026-03-15,2025-12-15 00:00:00+00,2026-01-14 00:00:00+00
262,104,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-05-24,In Progress,2026-02-22,2025-11-24 00:00:00+00,2025-12-24 00:00:00+00
263,104,Education,Improve participation and course completion,Teaching,0.85,2026-05-24,In Progress,2026-02-22,2025-11-24 00:00:00+00,2025-12-24 00:00:00+00
264,104,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-05-24,In Progress,2026-02-22,2025-11-24 00:00:00+00,2025-12-24 00:00:00+00
265,105,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-07-16,In Progress,2026-04-16,2026-01-16 00:00:00+00,2026-02-15 00:00:00+00
266,105,Education,Improve participation and course completion,Teaching,0.85,2026-07-16,In Progress,2026-04-16,2026-01-16 00:00:00+00,2026-02-15 00:00:00+00
267,105,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-07-16,In Progress,2026-04-16,2026-01-16 00:00:00+00,2026-02-15 00:00:00+00
268,106,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-06-08,In Progress,2026-03-08,2025-12-08 00:00:00+00,2026-01-07 00:00:00+00
269,106,Education,Improve participation and course completion,Teaching,0.85,2026-06-08,In Progress,2026-03-08,2025-12-08 00:00:00+00,2026-01-07 00:00:00+00
270,106,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-06-08,In Progress,2026-03-08,2025-12-08 00:00:00+00,2026-01-07 00:00:00+00
271,107,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-06-14,In Progress,2026-03-14,2025-12-14 00:00:00+00,2026-01-13 00:00:00+00
272,107,Education,Improve participation and course completion,Teaching,0.85,2026-06-14,In Progress,2026-03-14,2025-12-14 00:00:00+00,2026-01-13 00:00:00+00
273,107,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-06-14,In Progress,2026-03-14,2025-12-14 00:00:00+00,2026-01-13 00:00:00+00
274,108,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-05-27,In Progress,2026-02-25,2025-11-27 00:00:00+00,2025-12-27 00:00:00+00
275,108,Education,Improve participation and course completion,Teaching,0.85,2026-05-27,In Progress,2026-02-25,2025-11-27 00:00:00+00,2025-12-27 00:00:00+00
276,108,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-05-27,In Progress,2026-02-25,2025-11-27 00:00:00+00,2025-12-27 00:00:00+00
277,109,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-05-25,In Progress,2026-02-23,2025-11-25 00:00:00+00,2025-12-25 00:00:00+00
278,109,Education,Improve participation and course completion,Teaching,0.85,2026-05-25,In Progress,2026-02-23,2025-11-25 00:00:00+00,2025-12-25 00:00:00+00
279,109,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-05-25,In Progress,2026-02-23,2025-11-25 00:00:00+00,2025-12-25 00:00:00+00
280,110,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-05-27,In Progress,2026-02-25,2025-11-27 00:00:00+00,2025-12-27 00:00:00+00
281,110,Education,Improve participation and course completion,Teaching,0.85,2026-05-27,In Progress,2026-02-25,2025-11-27 00:00:00+00,2025-12-27 00:00:00+00
282,110,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-05-27,In Progress,2026-02-25,2025-11-27 00:00:00+00,2025-12-27 00:00:00+00
283,111,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-07-14,In Progress,2026-04-14,2026-01-14 00:00:00+00,2026-02-13 00:00:00+00
284,111,Education,Improve participation and course completion,Teaching,0.85,2026-07-14,In Progress,2026-04-14,2026-01-14 00:00:00+00,2026-02-13 00:00:00+00
285,111,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-07-14,In Progress,2026-04-14,2026-01-14 00:00:00+00,2026-02-13 00:00:00+00
286,82,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-08-14,In Progress,2026-05-15,2026-02-14 00:00:00+00,2026-03-16 00:00:00+00
287,82,Education,Improve participation and course completion,Teaching,0.85,2026-08-14,In Progress,2026-05-15,2026-02-14 00:00:00+00,2026-03-16 00:00:00+00
288,82,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-08-14,In Progress,2026-05-15,2026-02-14 00:00:00+00,2026-03-16 00:00:00+00
289,112,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-08-15,In Progress,2026-05-16,2026-02-15 00:00:00+00,2026-03-17 00:00:00+00
290,112,Education,Improve participation and course completion,Teaching,0.85,2026-08-15,In Progress,2026-05-16,2026-02-15 00:00:00+00,2026-03-17 00:00:00+00
291,112,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-08-15,In Progress,2026-05-16,2026-02-15 00:00:00+00,2026-03-17 00:00:00+00
292,113,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-08-14,In Progress,2026-05-15,2026-02-14 00:00:00+00,2026-03-16 00:00:00+00
293,113,Education,Improve participation and course completion,Teaching,0.85,2026-08-14,In Progress,2026-05-15,2026-02-14 00:00:00+00,2026-03-16 00:00:00+00
294,113,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-08-14,In Progress,2026-05-15,2026-02-14 00:00:00+00,2026-03-16 00:00:00+00
295,67,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-08-12,In Progress,2026-05-13,2026-02-12 00:00:00+00,2026-03-14 00:00:00+00
296,67,Education,Improve participation and course completion,Teaching,0.85,2026-08-12,In Progress,2026-05-13,2026-02-12 00:00:00+00,2026-03-14 00:00:00+00
297,67,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-08-12,In Progress,2026-05-13,2026-02-12 00:00:00+00,2026-03-14 00:00:00+00
298,68,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-08-13,In Progress,2026-05-14,2026-02-13 00:00:00+00,2026-03-15 00:00:00+00
299,68,Education,Improve participation and course completion,Teaching,0.85,2026-08-13,In Progress,2026-05-14,2026-02-13 00:00:00+00,2026-03-15 00:00:00+00
300,68,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-08-13,In Progress,2026-05-14,2026-02-13 00:00:00+00,2026-03-15 00:00:00+00
301,69,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-08-16,In Progress,2026-05-17,2026-02-16 00:00:00+00,2026-03-18 00:00:00+00
302,69,Education,Improve participation and course completion,Teaching,0.85,2026-08-16,In Progress,2026-05-17,2026-02-16 00:00:00+00,2026-03-18 00:00:00+00
303,69,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-08-16,In Progress,2026-05-17,2026-02-16 00:00:00+00,2026-03-18 00:00:00+00
304,70,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-08-15,In Progress,2026-05-16,2026-02-15 00:00:00+00,2026-03-17 00:00:00+00
305,70,Education,Improve participation and course completion,Teaching,0.85,2026-08-15,In Progress,2026-05-16,2026-02-15 00:00:00+00,2026-03-17 00:00:00+00
306,70,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-08-15,In Progress,2026-05-16,2026-02-15 00:00:00+00,2026-03-17 00:00:00+00
307,71,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-08-16,In Progress,2026-05-17,2026-02-16 00:00:00+00,2026-03-18 00:00:00+00
308,71,Education,Improve participation and course completion,Teaching,0.85,2026-08-16,In Progress,2026-05-17,2026-02-16 00:00:00+00,2026-03-18 00:00:00+00
309,71,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-08-16,In Progress,2026-05-17,2026-02-16 00:00:00+00,2026-03-18 00:00:00+00
310,72,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-08-12,In Progress,2026-05-13,2026-02-12 00:00:00+00,2026-03-14 00:00:00+00
311,72,Education,Improve participation and course completion,Teaching,0.85,2026-08-12,In Progress,2026-05-13,2026-02-12 00:00:00+00,2026-03-14 00:00:00+00
312,72,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-08-12,In Progress,2026-05-13,2026-02-12 00:00:00+00,2026-03-14 00:00:00+00
313,73,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-08-15,In Progress,2026-05-16,2026-02-15 00:00:00+00,2026-03-17 00:00:00+00
314,73,Education,Improve participation and course completion,Teaching,0.85,2026-08-15,In Progress,2026-05-16,2026-02-15 00:00:00+00,2026-03-17 00:00:00+00
315,73,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-08-15,In Progress,2026-05-16,2026-02-15 00:00:00+00,2026-03-17 00:00:00+00
316,74,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-08-12,In Progress,2026-05-13,2026-02-12 00:00:00+00,2026-03-14 00:00:00+00
317,74,Education,Improve participation and course completion,Teaching,0.85,2026-08-12,In Progress,2026-05-13,2026-02-12 00:00:00+00,2026-03-14 00:00:00+00
318,74,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-08-12,In Progress,2026-05-13,2026-02-12 00:00:00+00,2026-03-14 00:00:00+00
319,75,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-08-12,In Progress,2026-05-13,2026-02-12 00:00:00+00,2026-03-14 00:00:00+00
320,75,Education,Improve participation and course completion,Teaching,0.85,2026-08-12,In Progress,2026-05-13,2026-02-12 00:00:00+00,2026-03-14 00:00:00+00
321,75,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-08-12,In Progress,2026-05-13,2026-02-12 00:00:00+00,2026-03-14 00:00:00+00
322,76,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-08-13,In Progress,2026-05-14,2026-02-13 00:00:00+00,2026-03-15 00:00:00+00
323,76,Education,Improve participation and course completion,Teaching,0.85,2026-08-13,In Progress,2026-05-14,2026-02-13 00:00:00+00,2026-03-15 00:00:00+00
324,76,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-08-13,In Progress,2026-05-14,2026-02-13 00:00:00+00,2026-03-15 00:00:00+00
325,77,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-08-16,In Progress,2026-05-17,2026-02-16 00:00:00+00,2026-03-18 00:00:00+00
326,77,Education,Improve participation and course completion,Teaching,0.85,2026-08-16,In Progress,2026-05-17,2026-02-16 00:00:00+00,2026-03-18 00:00:00+00
327,77,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-08-16,In Progress,2026-05-17,2026-02-16 00:00:00+00,2026-03-18 00:00:00+00
328,78,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-08-16,In Progress,2026-05-17,2026-02-16 00:00:00+00,2026-03-18 00:00:00+00
329,78,Education,Improve participation and course completion,Teaching,0.85,2026-08-16,In Progress,2026-05-17,2026-02-16 00:00:00+00,2026-03-18 00:00:00+00
330,78,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-08-16,In Progress,2026-05-17,2026-02-16 00:00:00+00,2026-03-18 00:00:00+00
331,79,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-08-16,In Progress,2026-05-17,2026-02-16 00:00:00+00,2026-03-18 00:00:00+00
332,79,Education,Improve participation and course completion,Teaching,0.85,2026-08-16,In Progress,2026-05-17,2026-02-16 00:00:00+00,2026-03-18 00:00:00+00
333,79,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-08-16,In Progress,2026-05-17,2026-02-16 00:00:00+00,2026-03-18 00:00:00+00
334,80,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-08-14,In Progress,2026-05-15,2026-02-14 00:00:00+00,2026-03-16 00:00:00+00
335,80,Education,Improve participation and course completion,Teaching,0.85,2026-08-14,In Progress,2026-05-15,2026-02-14 00:00:00+00,2026-03-16 00:00:00+00
336,80,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-08-14,In Progress,2026-05-15,2026-02-14 00:00:00+00,2026-03-16 00:00:00+00
337,81,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2026-08-13,In Progress,2026-05-14,2026-02-13 00:00:00+00,2026-03-15 00:00:00+00
338,81,Education,Improve participation and course completion,Teaching,0.85,2026-08-13,In Progress,2026-05-14,2026-02-13 00:00:00+00,2026-03-15 00:00:00+00
339,81,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2026-08-13,In Progress,2026-05-14,2026-02-13 00:00:00+00,2026-03-15 00:00:00+00
340,79,Safety,We should do good,CBT,79.98,2026-02-10,Open,,2026-02-16 00:00:00+00,2026-02-16 00:00:00+00
341,85,Safety,Help her out,\Yep,80,2026-02-17,In Progress,,2026-02-16 00:00:00+00,2026-02-16 00:00:00+00
